token,doc_ids,freq
1win,2339520|2340054|2340123|2339537|2339502|2339916,6
5orgless,2335401|2337934|2335394|2336086|2336364|2336540,6
aeon,2314670|2317260|2318095|2318371|2318183|2318373,6
bootkamp,2316343|2316989|2316233|2316473|2315422|2316838,6
bragantino,2327401|2328758|2328055|2328189|2328636|2328399,6
cex,2315150|2313401|2313440|2313479|2313520|2313464,6
conquer,2317350|2317423|2329808|2317201|2329609|2312651,6
cs,2302255|2302614|2302268|2301862|2302197|2302624,6
csbl,2322045|2322354|2322032|2322033|2322044|2322355,6
dai,2304482|2304482|2304666|2304666|2305326|2305326,6
delete,2303717|2303621|2303624|2303651|2303859|2303732,6
eastern,2309575|2309671|2310843|2311745|2311749|2309891,6
emprox,2325891|2326493|2327918|2327921|2325892|2326494,6
fallen5,2337472|2337480|2336625|2336799|2337464|2336342,6
games,2299312|2299310|2299311|2299363|2299373|2299383,6
go,2302255|2302614|2302268|2301862|2302197|2302624,6
godz,2339462|2339901|2340186|2339577|2339561|2340173,6
guerilla,2305277|2306452|2305415|2305392|2306451|2305276,6
hasselsnok,2316926|2317095|2316444|2316652|2317096|2317313,6
hookahlike,2312141|2311117|2312053|2312976|2312981|2313200,6
india,2326477|2327554|2327835|2327860|2327557|2327837,6
infurity,2316441|2316646|2316652|2316440|2317088|2317091,6
jammers,2323489|2323914|2323355|2323556|2323436|2323828,6
lang0ds,2318100|2318457|2318458|2318059|2318101|2318060,6
line5,2322367|2322368|2322376|2322365|2322366|2322375,6
maquinas,2337303|2338311|2337308|2329698|2338092|2338265,6
neverest,2332328|2332331|2339708|2339509|2339731|2340389,6
ownage,2319053|2325448|2325451|2325428|2325377|2325434,6
prowince,2316066|2316347|2315275|2316717|2315578|2315783,6
pug,2339561|2340173|2339462|2339901|2340186|2339577,6
ranks,2309182|2309188|2309306|2309364|2309107|2309186,6
rebirth,2338081|2337862|2337987|2338434|2338457|2338140,6
rs,2302255|2302614|2302268|2301862|2302197|2302624,6
rysix,2339612|2339604|2339474|2339507|2339592|2339731,6
saw,2339541|2338823|2339599|2339327|2339497|2339521,6
say,2319331|2319326|2319656|2319795|2319321|2319792,6
sleep,2340202|2340252|2340430|2340436|2339887|2339832,6
sparta,2326636|2326637|2329951|2329953|2327221|2327214,6
titans,2338256|2338890|2309028|2338884|2308900|2338870,6
tqm,2310722|2310731|2310725|2310728|2310715|2311451,6
tricksters,2307881|2311279|2311283|2307880|2311278|2307588,6
tshow,2306646|2311143|2309467|2306843|2309406|2311120,6
underdogs,2327076|2328887|2330121|2330077|2330118|2327033,6
warmup,2325960|2326578|2325625|2325824|2325017|2325033,6
wise,2319165|2319323|2319331|2319791|2318977|2319333,6
worst,2302661|2302682|2302719|2302750|2302849|2302683,6
xtc,2303860|2304378|2325455|2304439|2310366|2310436,6
ze,2339561|2340173|2339462|2339901|2340186|2339577,6
24bhb,2334485|2314154|2334365|2313222|2314156,5
4dimension,2305667|2305765|2306060|2304827|2306073,5
acapella,2316926|2317312|2316651|2317310|2316440,5
ad,2335499|2335452|2335376|2336380|2339266,5
aequus,2328989|2339927|2340135|2328961|2340134,5
africa,2303957|2310368|2303970|2310450|2310437,5
allthestars,2323653|2323048|2322936|2323576|2323708,5
animals,2307581|2307585|2307584|2308179|2308235,5
anonymous,2340131|2309962|2312269|2312273|2312264,5
atb,2305484|2305548|2305219|2305255|2306826,5
blackwoodproductions,2318456|2319108|2318452|2319415|2318455,5
camel,2318586|2339927|2340096|2318588|2340124,5
cartel,2321026|2321617|2327032|2321440|2326730,5
corp,2301784|2307628|2303630|2303618|2307670,5
cream,2339493|2338478|2339519|2338335|2338538,5
csgo2x,2302189|2302503|2302659|2302773|2302929,5
deepdarkdanger,2317804|2319249|2322294|2317978|2322386,5
