token,doc_ids,freq
denmark,2304800|2305349|2311506|2305369|2305524,5
dippers,2335863|2336522|2336491|2335866|2336221,5
dodgers,2329733|2329992|2329683|2329829|2330048,5
eeriness,2312047|2315048|2316277|2318134|2318197,5
elite,2312844|2317420|2317442|2319007|2310143,5
encore,2309288|2309346|2309310|2309300|2310193,5
envision,2307824|2307862|2307991|2307852|2308012,5
findictus,2307917|2307988|2308034|2307827|2308328,5
finest,2340096|2340129|2338236|2338200|2340134,5
fuah,2308178|2308184|2308299|2309634|2309547,5
full,2331142|2331435|2331653|2331227|2331683,5
galactica,2323520|2323542|2323702|2323319|2323185,5
genesis,2315210|2314136|2316411|2314895|2316407,5
gold,2302449|2305860|2306794|2306795|2312550,5
granit,2328160|2329612|2329790|2329810|2329963,5
graytoad,2321144|2321099|2321131|2321137|2321139,5
headshotbg,2304462|2304786|2304677|2304552|2306530,5
hoc,2335376|2336380|2339266|2335499|2335452,5
hyper,2314929|2317318|2321165|2310454|2318008,5
incoming,2311927|2312188|2312189|2311918|2311912,5
insomnia,2307695|2307860|2307861|2307995|2307997,5
iwku,2301666|2301779|2301733|2301721|2301709,5
j2g,2301049|2301562|2300990|2301063|2301083,5
lan,2329733|2329992|2329683|2329829|2330048,5
let,2337486|2337503|2337492|2337497|2337510,5
m1x,2337807|2337994|2338021|2337785|2337763,5
mentality,2325339|2324369|2325411|2324363|2325041,5
mongolia,2303434|2303425|2303427|2320161|2303424,5
nerdrage,2301042|2301417|2301333|2302479|2301222,5
newlife,2320680|2321390|2321628|2321003|2321394,5
niceshot,2305949|2306687|2306702|2306890|2306925,5
nocturns,2305263|2305981|2305994|2305984|2305991,5
nokappa,2301341|2301352|2301354|2301269|2301324,5
nordic,2309673|2309881|2309624|2309583|2310988,5
norway,2304800|2311506|2311830|2302533|2304822,5
notag,2326139|2326169|2326178|2326232|2326235,5
org,2311927|2312188|2312189|2311918|2311912,5
origin,2321015|2321618|2322236|2323967|2322237,5
otfs,2314948|2314978|2315063|2315101|2315098,5
otter,2312624|2312626|2312629|2312329|2312337,5
pixelfire,2300522|2300525|2310152|2300510|2300521,5
quarter,2321026|2321617|2327032|2321440|2326730,5
quit,2337486|2337503|2337492|2337497|2337510,5
rb,2301926|2302415|2302369|2302678|2302217,5
rebellion,2305124|2305126|2305710|2314684|2314686,5
rebels,2300419|2300432|2300447|2300445|2300436,5
rock,2339256|2339080|2339088|2339134|2339426,5
roughtimes,2316849|2318165|2316009|2316011|2317202,5
rudy,2314240|2314242|2314249|2315043|2314247,5
send,2331142|2331435|2331653|2331227|2331683,5
shadows,2304557|2305110|2304471|2305097|2305145,5
skdc,2314929|2299313|2299309|2314939|2299311,5
stormborns,2325252|2326743|2325260|2312663|2312831,5
syntax,2337490|2337497|2337484|2337502|2337509,5
teammate,2323075|2323073|2323174|2323074|2323212,5
tempest,2301230|2301480|2302220|2301215|2301225,5
time,2336217|2336375|2335887|2336093|2336371,5
toe,2325973|2333419|2325541|2325876|2325930,5
trs,2304337|2322948|2304250|2321169|2322889,5
turkey,2304117|2304431|2305349|2305367|2304876,5
turkey5,2335387|2335385|2334931|2335271|2335297,5
uranus,2325437|2325607|2326042|2325075|2325861,5
vesuvius,2302449|2303994|2302601|2303757|2303880,5
virtual,2315210|2314136|2316411|2314895|2316407,5
vizard,2326916|2326919|2327045|2327272|2327961,5
warning,2323369|2323420|2322070|2318840|2323397,5
warthogs,2309673|2309881|2309624|2309583|2310988,5
winout,2302715|2302691|2303220|2302695|2303614,5
your,2325863|2325985|2301963|2325651|2302066,5
zzz,2310010|2309108|2310005|2310011|2309068,5
ange,2325973|2333419|2325876|2325930,4
anthrax,2334482|2333470|2333465|2334365,4
asdf,2303394|2303542|2303990|2304026,4
aster,2334936|2334048|2334906|2334033,4
astro,2336183|2336770|2337099|2339190,4
atlas,2326826|2327060|2327318|2328576,4
atmos,2332135|2332326|2332444|2332423,4
baecon,2337610|2337659|2337908|2338350,4
besiktas,2332671|2332663|2338549|2338567,4
cats,2334202|2334483|2334534|2334515,4
cheeseltd,2330354|2330377|2330312|2330409,4
colombia,2307340|2307349|2307374|2307385,4
deadweight,2304548|2304871|2302944|2302473,4
dickhouse,2305482|2305551|2306973|2306137,4
dogs,2325543|2325256|2335035|2335019,4
eura,2317206|2317542|2321016|2324650,4
exsto,2327042|2326724|2328497|2326914,4
fcdb,2328155|2327294|2327075|2329307,4
fellas,2326689|2326483|2326490|2326485,4
fightclub,2310573|2310638|2311513|2311521,4
finesse,2325696|2325209|2325210|2325695,4
gamerzone,2335456|2336210|2335900|2335271,4
generation,2314705|2315344|2323015|2317363,4
geostorm,2326260|2325213|2326119|2326189,4
got,2303312|2301491|2302469|2302993,4
gtz,2329612|2337907|2336933|2329800,4
heavy,2330967|2331254|2330979|2331797,4
hey,2320806|2322096|2321207|2323347,4
hz,2339934|2340157|2339062|2340150,4
immune,2333198|2334506|2334525|2334146,4
ivyaert,2318089|2318168|2318374|2317585,4
jsbf,2321144|2320974|2321100|2321130,4
k0pfsache,2321066|2322125|2322258|2322526,4
kino,2305169|2305188|2305167|2307801,4
knockout,2330967|2331254|2330979|2331797,4
latingamers,2335662|2334572|2334563|2335743,4
masked,2329656|2329750|2330660|2329702,4
monarchs,2332629|2332613|2333570|2333846,4
monky,2335696|2335696|2336650|2336650,4
motv,2303013|2301771|2302230|2302206,4
mousespaz,2311941|2311945|2312582|2312624,4
newballs,2336142|2336169|2336099|2336147,4
next,2314705|2315344|2323015|2317363,4
nface,2303633|2303658|2303584|2303701,4
noble,2300958|2302083|2302566|2301429,4
noname,2334071|2334207|2334378|2334891,4
operation,2305169|2305188|2305167|2307801,4
panters,2302554|2300993|2301024|2300971,4
pathless,2306987|2306386|2306983|2306860,4
piter,2306861|2306524|2302218|2306574,4
potential,2305754|2305756|2305377|2305474,4
pur,2317206|2317542|2321016|2324650,4
queso,2329537|2329961|2332473|2329305,4
sad,2328946|2327965|2328961|2329155,4
saltbae,2310905|2310906|2310835|2310836,4
sangal,2338256|2337577|2338224|2338269,4
sherifi,2315473|2312292|2315541|2317258,4
slovakia,2329400|2304117|2315687|2329402,4
speedrunners,2339530|2339531|2340058|2339914,4
story,2328946|2327965|2328961|2329155,4
sweden,2321950|2311830|2302533|2309020,4
takes,2328460|2325211|2326158|2326190,4
tenerife,2338256|2338890|2338884|2338870,4
thegosucrew,2309331|2307558|2309927|2309868,4
ulti,2306993|2306643|2306981|2306644,4
ulticoin,2329276|2328930|2328965|2327822,4
walkover,2304852|2304858|2304859|2304862,4
warriors,2316103|2334654|2339031|2334697,4
we,2303312|2301491|2302469|2302993,4
whatever,2328460|2325211|2326158|2326190,4
winfiction,2304677|2304695|2304782|2304787,4
xoxo,2311611|2311615|2311771|2311840,4
5cent,2306995|2306980|2306979,3
8easy,2335365|2335063|2335391,3
agressive,2335682|2335712|2335745,3
ajukreizi,2311144|2311151|2311125,3
akara,2314874|2314875|2316511,3
alive,2309959|2300518|2300502,3
area08,2301711|2301730|2301755,3
arrosoir,2321210|2321172|2321252,3
autocracy,2303901|2304190|2303905,3
ballistix,2311553|2311555|2311557,3
bl4ze,2335394|2336451|2338395,3
bojestvata,2330967|2331317|2331288,3
cg,2300508|2300504|2300506,3
children,2305484|2305578|2305565,3
christmas,2317709|2317795|2317793,3
corea,2314077|2314104|2329519,3
crib,2325651|2325863|2325985,3
csgo,2338602|2338630|2338623,3
cursive,2306034|2306748|2306754,3
derberg,2332646|2332635|2332645,3
dethrone,2307864|2307956|2307863,3
digital,2302441|2302450|2302437,3
dreamrar,2305465|2305450|2305433,3
dreamworse,2325605|2325264|2325673,3
duck,2329840|2329984|2330113,3
exertus,2301719|2301768|2301757,3
expendables,2306553|2306546|2306549,3
fear,2306514|2306506|2306952,3
fennec,2304239|2304242|2304236,3
finland,2321950|2304822|2309020,3
ftw,2306732|2302617|2338344,3
future,2336097|2335245|2335280,3
galatics,2301917|2301979|2301473,3
glacon,2313201|2311118|2312053,3
golden,2305484|2305578|2305565,3
goodfellas,2337465|2337475|2337477,3
gravity,2334138|2324170|2334438,3
gun,2310373|2310381|2310496,3
guts,2303437|2303439|2303537,3
hex,2336127|2335092|2335048,3
home,2328254|2328011|2328221,3
hydr,2326517|2326547|2326567,3
icsu,2320328|2320222|2320661,3
impunity,2337472|2337482|2337468,3
kharum,2311697|2316163|2316174,3
kryvbas,2338006|2338048|2338009,3
l4org,2308588|2313483|2308577,3
leader,2300340|2300342|2300327,3
leopard,2318511|2318521|2318468,3
licht,2318210|2318095|2318371,3
lilmix,2329790|2333846|2338315,3
malco,2319201|2319281|2319245,3
marskalk,2338031|2328788|2338025,3
mcon,2330084|2330102|2334361,3
mikstura,2329599|2329865|2329589,3
minded,2301234|2301271|2301255,3
niknexus,2332011|2329935|2331652,3
ninja,2310351|2309076|2310398,3
nom,2329127|2329133|2333486,3
noorg,2329841|2329789|2329361,3
normal,2322625|2324142|2322684,3
notbad,2334181|2334065|2334247,3
number,2315377|2315655|2315463,3
nutz,2329840|2329984|2330113,3
ogres,2339168|2339114|2339690,3
onegodlike,2321631|2313330|2314350,3
overdrive,2309359|2309455|2309849,3
owms,2332743|2333329|2332231,3
paper,2339935|2339190|2340151,3
partners,2332646|2332635|2332645,3
perfect,2336097|2335245|2335280,3
phenomenon,2302950|2302994|2302955,3
plantronics,2301706|2301724|2301738,3
pugstar5,2329242|2329234|2329246,3
rage,2328405|2327836|2327837,3
rave,2329232|2329244|2329237,3
recursive,2301666|2336489|2336698,3
reload,2303448|2303394|2303540,3
reseaux,2328614|2328617|2328743,3
rex,2339935|2339190|2340151,3
ria,2325604|2325705|2325673,3
rj,2306543|2306547|2306552,3
rox,2306601|2306583|2306600,3
rude,2328012|2328220|2329085,3
rustun,2322625|2324142|2322684,3
savor,2306514|2306506|2306952,3
shukufuku,2306542|2306533|2306537,3
singapore,2305367|2305369|2305524,3
skin,2339168|2339114|2339690,3
slaughter,2328405|2327836|2327837,3
smc,2311718|2311973|2311809,3
sofakinggood,2304714|2304939|2304938,3
sunshine,2306542|2306533|2306537,3
supernova,2318718|2302535|2318722,3
swift,2304241|2304239|2304235,3
tamulus,2304046|2304078|2303864,3
team1231,2304396|2304492|2304493,3
top,2310373|2310381|2310496,3
tortues,2310351|2309076|2310398,3
uber,2325863|2325985|2325651,3
underpressure,2329238|2329233|2329243,3
unemployed,2317709|2317795|2317793,3
up,2322465|2338229|2339509,3
updraft,2339739|2339981|2339973,3
veni,2328439|2329002|2326067,3
vidi,2328439|2329002|2326067,3
visomvet,2302928|2302480|2302941,3
vit,2325604|2325705|2325673,3
vodkajuniors,2337841|2337739|2338207,3
wave,2302441|2302450|2302437,3
weird,2336915|2336912|2336917,3
xpresiv,2305577|2305578|2306136,3
130,2303580|2303601,2
20matar,2323060|2323034,2
4us,2328574|2329376,2
5love,2303671|2303670,2
ac,2303580|2303601,2
ae,2311405|2314942,2
aim4r,2339924|2339973,2
allin,2306299|2305863,2
alter,2301963|2302066,2
altima,2331434|2331432,2
anunnaki,2334792|2334814,2
arctic,2329400|2328709,2
assassins,2332679|2332673,2
atrapa2,2330999|2335744,2
av,2317861|2317862,2
awtr,2315156|2315296,2
azure,2318877|2318878,2
balderisnor,2332541|2332546,2
bamboozled,2311154|2310453,2
barracx,2328016|2328018,2
bbc,2332143|2332420,2
blood,2330970|2330974,2
bot,2306180|2306176,2
brazen,2337987|2337877,2
brief,2318294|2318330,2
bring,2331171|2330970,2
brutalis,2330879|2331321,2
bunkergg,2306245|2306266,2
buzzkill,2333024|2333639,2
bynie,2318077|2318020,2
call,2338628|2338623,2
champagne,2318722|2318718,2
city,2335317|2335268,2
coolkids,2329183|2329359,2
corvini,2310792|2310825,2
csatse,2303175|2303077,2
darayu,2314582|2314874,2
dead,2301804|2301228,2
deceptors,2328692|2329209,2
delta,2314582|2314874,2
demonio,2307172|2307176,2
depre,2329182|2329358,2
devious,2324824|2325360,2
divisionx,2339231|2339346,2
dolphin,2319255|2319256,2
drama,2325543|2325256,2
drawn,2337865|2337989,2
dutch,2305421|2305714,2
eat,2300518|2300502,2
eav,2311122|2311129,2
eclot,2338361|2338595,2
ego,2301963|2302066,2
eimi,2339942|2339975,2
ekb,2309907|2307507,2
en,2317861|2317862,2
eu4ia,2305863|2305887,2
exdt,2323015|2329133,2
fab,2302734|2302431,2
faithin,2304395|2304492,2
fbg,2339919|2340060,2
fc,2339942|2339975,2
fragsport,2307007|2306976,2
fraternitas,2313166|2313234,2
fu,2333581|2333695,2
fukada,2339942|2339975,2
fulfillment,2337865|2337989,2
gamdias,2328186|2328009,2
game4glory,2305860|2306794,2
gex,2306184|2306100,2
glockwork,2310453|2316913,2
grade,2303677|2307274,2
green,2317193|2317238,2
hawks,2337085|2337001,2
holo,2333992|2334453,2
huehue,2304310|2303954,2
hurricane,2319255|2319256,2
huzy,2326041|2325990,2
imperium,2314577|2315044,2
impulse,2314148|2313575,2
intic,2334563|2332163,2
intro,2306025|2306173,2
iyati,2315892|2315895,2
kansas,2335317|2335268,2
kingpins,2321481|2329416,2
kk,2308434|2308418,2
label,2331285|2331311,2
ladies,2301758|2301735,2
ladon,2333626|2333620,2
leapfrog,2306520|2306503,2
lelix,2328688|2328767,2
lemondogs,2300520|2300509,2
lette,2317861|2317862,2
limits,2320776|2319827,2
lin4evateli,2319401|2318222,2
llg,2320619|2320919,2
luck,2338628|2338623,2
lunacy,2305275|2305277,2
mammoth,2316406|2316410,2
master,2303677|2307274,2
merry,2319801|2319803,2
minttu,2328181|2328192,2
miso,2313575|2313577,2
mistake,2310634|2310858,2
mix,2307583|2307584,2
mock,2332378|2332337,2
moscow,2339527|2339531,2
mxb,2316649|2316655,2
n0_0rg,2302332|2302343,2
n4,2303670|2303671,2
neolution,2328688|2328767,2
nerds,2310328|2310337,2
nga,2312793|2312639,2
nirvana,2334046|2334039,2
oceanic,2332097|2331872,2
oserv,2310400|2310346,2
overcome,2306102|2306190,2
paris,2321937|2322057,2
pelafustanes,2330292|2333305,2
pg,2328016|2328018,2
pixels,2301804|2301228,2
play4lan,2326216|2326225,2
precision,2337861|2337969,2
predator,2336391|2336397,2
princeadil,2338353|2338474,2
prodigy,2305421|2305714,2
puddipuddi,2305110|2305108,2
quad,2337002|2326688,2
quadruno,2315709|2315711,2
rabbit,2303861|2309511,2
random5,2326875|2326873,2
raregods,2335400|2335202,2
ratoes,2333558|2333454,2
replays,2303657|2303656,2
res,2321583|2321609,2
revolt,2339415|2339433,2
rival,2321784|2321929,2
rmu,2329539|2329376,2
runtime,2330240|2330229,2
russian,2339281|2339479,2
rvn,2311788|2318817,2
rynn,2308434|2308418,2
sadbots,2333681|2333643,2
samurai,2316913|2317450,2
sas,2322950|2322917,2
school,2321937|2322057,2
scoots,2333991|2333936,2
see,2335696|2336650,2
shidiots,2335696|2336267,2
shotcallers,2329873|2329899,2
sigma,2339693|2339714,2
silent,2338002|2339199,2
sippintea,2310230|2310233,2
soberano,2339239|2339143,2
society,2331285|2331311,2
sons,2333991|2333936,2
spacestress,2333983|2333933,2
sprittet,2313785|2314629,2
ssu,2304688|2305826,2
strike,2305328|2306792,2
talon,2316170|2316122,2
temp,2305894|2310988,2
thailand,2303427|2303424,2
timbermen,2337864|2337988,2
togetherasone,2301842|2301872,2
trademarc,2315106|2315107,2
tribo,2333581|2333695,2
trumps,2310705|2310768,2
vaevictis,2332692|2332798,2
very1z,2334030|2334046,2
viikset,2308434|2308418,2
vilay,2337838|2337920,2
violight,2313583|2314349,2
vortex,2305125|2305126,2
vulkanbet,2332632|2332668,2
vulture,2317392|2316005,2
war,2335035|2335019,2
wargods,2314577|2314578,2
weneeddollars,2321226|2321230,2
werise,2309319|2309593,2
wildcats,2324184|2324215,2
wolsung,2314750|2312840,2
wubbalubbadubdub,2339930|2340145,2
yellow,2305134|2304779,2
you,2300518|2300502,2
young,2330970|2330974,2
zeta,2305328|2306792,2
zzcy,2303583|2303636,2
