doc_id,text,date,_map,team_1,team_2
2299077_Cache,Titan Luminosity Cache 6 16,2015-11-06,Cache,Titan,Luminosity
2299102_Cobblestone,Titan Natus Vincere Cobblestone 16 12,2015-11-07,Cobblestone,Titan,Natus Vincere
2299123_Inferno,Virtus.pro mousesports Inferno 16 8,2015-11-08,Inferno,Virtus.pro,mousesports
2299149_Dust2,Cloud9 Conquest Dust2 16 6,2015-11-11,Dust2,Cloud9,Conquest
2299173_Cache,Liquid Conquest Cache 16 8,2015-11-12,Cache,Liquid,Conquest
2299174_Overpass,Cloud9 Complexity Overpass 16 11,2015-11-12,Overpass,Cloud9,Complexity
2299195_Cache,Dignitas Virtus.pro Cache 16 4,2015-11-12,Cache,Dignitas,Virtus.pro
2299211_Dust2,Luminosity Liquid Dust2 16 14,2015-11-13,Dust2,Luminosity,Liquid
2299224_Cache,Envy Virtus.pro Cache 4 16,2015-11-13,Cache,Envy,Virtus.pro
2299252_Mirage,Winterfox CLG Mirage 2 16,2015-11-14,Mirage,Winterfox,CLG
2299255_Train,Renegades CLG Train 10 16,2015-11-14,Train,Renegades,CLG
2299257_Cobblestone,Conquest Complexity Cobblestone 10 16,2015-11-15,Cobblestone,Conquest,Complexity
2299259_Cobblestone,NiP Virtus.pro Cobblestone 14 16,2015-11-15,Cobblestone,NiP,Virtus.pro
2299304_Inferno,Complexity Method Inferno 10 16,2015-11-17,Inferno,Complexity,Method
2299341_Dust2,Natus Vincere Virtus.pro Dust2 16 5,2015-11-17,Dust2,Natus Vincere,Virtus.pro
2299343_Mirage,NiP Titan Mirage 16 3,2015-11-17,Mirage,NiP,Titan
2299361_Inferno,fnatic TSM Inferno 16 14,2015-11-18,Inferno,fnatic,TSM
2299365_Train,Luminosity Enemy Train 16 3,2015-11-18,Train,Luminosity,Enemy
2299370_Dust2,Luminosity Liquid Dust2 11 16,2015-11-18,Dust2,Luminosity,Liquid
2299373_Cobblestone,Winterfox Games Academy Cobblestone 4 16,2015-11-18,Cobblestone,Winterfox,Games Academy
2299383_Cache,Games Academy Luminosity Cache 13 16,2015-11-19,Cache,Games Academy,Luminosity
2299384_Cobblestone,Enemy Renegades Cobblestone 10 16,2015-11-19,Cobblestone,Enemy,Renegades
2299388_Cache,FlipSid3 E-frag.net Cache 16 11,2015-11-19,Cache,FlipSid3,E-frag.net
2299538_Cobblestone,Envy Luminosity Cobblestone 16 8,2015-11-27,Cobblestone,Envy,Luminosity
2299539_Mirage,fnatic Virtus.pro Mirage 11 16,2015-11-28,Mirage,fnatic,Virtus.pro
2299613_Mirage,Natus Vincere Dignitas Mirage 10 16,2015-12-01,Mirage,Natus Vincere,Dignitas
2299639_Inferno,Envy Vexed Inferno 16 3,2015-12-02,Inferno,Envy,Vexed
2299746_Mirage,NiP fnatic Mirage 12 16,2015-12-06,Mirage,NiP,fnatic
2299763_Mirage,Envy Dignitas Mirage 16 7,2015-12-07,Mirage,Envy,Dignitas
2299800_Inferno,fnatic Conquest Inferno 16 10,2015-12-10,Inferno,fnatic,Conquest
2299801_Mirage,? CLG Mirage 16 12,2015-12-11,Mirage,?,CLG
2299833_Cache,Liquid Conquest Cache 16 7,2015-12-12,Cache,Liquid,Conquest
2299865_Cobblestone,Natus Vincere Luminosity Cobblestone 16 11,2015-12-12,Cobblestone,Natus Vincere,Luminosity
2299888_Train,fnatic Natus Vincere Train 14 16,2015-12-13,Train,fnatic,Natus Vincere
2299900_Inferno,E-frag.net G2 Inferno 9 16,2015-12-14,Inferno,E-frag.net,G2
2300171_Mirage,Envy Dignitas Mirage 16 10,2016-01-07,Mirage,Envy,Dignitas
2300271_Train,G2 Luminosity Train 9 16,2016-01-13,Train,G2,Luminosity
2300272_Mirage,Natus Vincere Luminosity Mirage 9 16,2016-01-13,Mirage,Natus Vincere,Luminosity
2300274_Train,Natus Vincere G2 Train 16 14,2016-01-14,Train,Natus Vincere,G2
2300290_Cache,Cloud9 Winterfox Cache 16 10,2016-01-14,Cache,Cloud9,Winterfox
2300297_Dust2,? fnatic Dust2 10 16,2016-01-14,Dust2,?,fnatic
2300326_Cache,Enemy EZG Cache 16 9,2016-01-15,Cache,Enemy,EZG
2300344_Cobblestone,fnatic Natus Vincere Cobblestone 16 7,2016-01-17,Cobblestone,fnatic,Natus Vincere
2300363_Cache,Vexed E-frag.net Cache 10 16,2016-01-18,Cache,Vexed,E-frag.net
2300412_Mirage,Natus Vincere SK Mirage 16 3,2016-01-22,Mirage,Natus Vincere,SK
2300420_Cache,Gambit eXplosive Cache 16 4,2016-01-22,Cache,Gambit,eXplosive
2300432_Cobblestone,Rebels Gambit Cobblestone 32 36,2016-01-22,Cobblestone,Rebels,Gambit
2300433_Mirage,FLuffy Gangsters Quest Mirage 14 16,2016-01-23,Mirage,FLuffy Gangsters,Quest
2300446_Cache,Gambit Method Cache 16 11,2016-01-24,Cache,Gambit,Method
2300446_Cobblestone,Gambit Method Cobblestone 16 8,2016-01-24,Cobblestone,Gambit,Method
2300478_Cache,Dignitas mousesports Cache 12 16,2016-01-26,Cache,Dignitas,mousesports
2300494_Cache,ex-Titan mousesports Cache 9 16,2016-01-28,Cache,ex-Titan,mousesports
2300501_Dust2,Chiefs Risky Dust2 16 9,2016-01-29,Dust2,Chiefs,Risky
2300508_Cache,CG PENTA Cache 19 21,2016-01-29,Cache,CG,PENTA
2300526_Mirage,PENTA HellRaisers Mirage 15 21,2016-01-31,Mirage,PENTA,HellRaisers
2300527_Inferno,HellRaisers E-frag.net Inferno 6 16,2016-01-31,Inferno,HellRaisers,E-frag.net
2300555_Mirage,Method ENCE Mirage 1 16,2016-02-02,Mirage,Method,ENCE
2300571_Inferno,FlipSid3 Dignitas Inferno 13 16,2016-02-04,Inferno,FlipSid3,Dignitas
2300591_Train,Cloud9 G2 Train 13 16,2016-02-05,Train,Cloud9,G2
2300592_Mirage,Astralis Method Mirage 16 2,2016-02-05,Mirage,Astralis,Method
2300595_Cache,Cloud9 G2 Cache 3 16,2016-02-05,Cache,Cloud9,G2
2300600_Cobblestone,LDLC White ENCE Cobblestone 14 16,2016-02-05,Cobblestone,LDLC White,ENCE
2300601_Dust2,Epiphany Bolt Millenium Dust2 16 12,2016-02-05,Dust2,Epiphany Bolt,Millenium
2300616_Mirage,Envy Cloud9 Mirage 16 13,2016-02-06,Mirage,Envy,Cloud9
2300616_Overpass,Envy Cloud9 Overpass 16 12,2016-02-06,Overpass,Envy,Cloud9
2300638_Cobblestone,Envy Dignitas Cobblestone 16 4,2016-02-07,Cobblestone,Envy,Dignitas
2300805_Overpass,FlipSid3 Astralis Overpass 7 16,2016-02-16,Overpass,FlipSid3,Astralis
2300809_Cobblestone,Natus Vincere Virtus.pro Cobblestone 16 12,2016-02-17,Cobblestone,Natus Vincere,Virtus.pro
2300842_Dust2,Cloud9 OpTic Dust2 16 11,2016-02-15,Dust2,Cloud9,OpTic
2300877_Train,Envy fnatic Train 16 10,2016-02-19,Train,Envy,fnatic
2300887_Inferno,fnatic gBots Inferno 16 13,2016-02-19,Inferno,fnatic,gBots
2300898_Default,Orgless FlipSid3 Default 16 9,2016-03-07,Default,Orgless,FlipSid3
2300909_Train,G2 x6tence Train 16 3,2016-02-20,Train,G2,x6tence
2300913_Cobblestone,fnatic Dignitas Cobblestone 19 17,2016-02-20,Cobblestone,fnatic,Dignitas
2300963_Cobblestone,OpTic Tempo Storm Cobblestone 1 16,2016-02-21,Cobblestone,OpTic,Tempo Storm
2300970_Inferno,Vexed ENCE Inferno 18 22,2016-02-23,Inferno,Vexed,ENCE
2300987_Cache,CLG Cloud9 Cache 16 12,2016-02-22,Cache,CLG,Cloud9
2300999_Cobblestone,Envy Virtus.pro Cobblestone 20 22,2016-02-23,Cobblestone,Envy,Virtus.pro
2301010_Mirage,Splyce Winterfox Mirage 3 16,2016-02-24,Mirage,Splyce,Winterfox
2301024_Cache,CSGL PANTERS Cache 19 15,2016-02-23,Cache,CSGL,PANTERS
2301035_Dust2,Binary Dragons RCTIC Dust2 8 16,2016-02-24,Dust2,Binary Dragons,RCTIC
2301037_Dust2,ENCE CPH Wolves Dust2 16 10,2016-02-25,Dust2,ENCE,CPH Wolves
2301042_Cobblestone,nerdRage k1ck Cobblestone 12 16,2016-02-25,Cobblestone,nerdRage,k1ck
2301043_Cache,fnatic Astralis Cache 16 2,2016-02-25,Cache,fnatic,Astralis
2301049_Overpass,J2G MiTH Overpass 10 16,2016-02-26,Overpass,J2G,MiTH
2301062_Cobblestone,MiTH dream[S]cape Cobblestone 14 16,2016-02-27,Cobblestone,MiTH,dream[S]cape
2301062_Dust2,MiTH dream[S]cape Dust2 14 16,2016-02-27,Dust2,MiTH,dream[S]cape
2301065_Inferno,FlipSid3 G2 Inferno 14 16,2016-02-27,Inferno,FlipSid3,G2
2301073_Mirage,ENCE Preparation Mirage 17 19,2016-02-27,Mirage,ENCE,Preparation
2301078_Cache,ALTERNATE aTTaX AliGon Cache 16 9,2016-02-27,Cache,ALTERNATE aTTaX,AliGon
2301084_Cobblestone,MVP.karnal dream[S]cape Cobblestone 16 4,2016-02-28,Cobblestone,MVP.karnal,dream[S]cape
2301085_Train,FlipSid3 Tempo Storm Train 16 5,2016-02-28,Train,FlipSid3,Tempo Storm
2301087_Mirage,Cloud9 Renegades Mirage 16 14,2016-02-28,Mirage,Cloud9,Renegades
2301088_Mirage,Preparation Orgless Mirage 14 16,2016-02-28,Mirage,Preparation,Orgless
2301090_Overpass,Orgless Ancient Overpass 6 16,2016-02-28,Overpass,Orgless,Ancient
2301093_Cache,Preparation ALTERNATE aTTaX Cache 16 12,2016-02-28,Cache,Preparation,ALTERNATE aTTaX
2301093_Mirage,Preparation ALTERNATE aTTaX Mirage 16 8,2016-02-28,Mirage,Preparation,ALTERNATE aTTaX
2301096_Dust2,mousesports Astralis Dust2 4 16,2016-03-08,Dust2,mousesports,Astralis
2301103_Dust2,Epiphany Bolt LDLC Blue Dust2 3 16,2016-02-29,Dust2,Epiphany Bolt,LDLC Blue
2301120_Dust2,Renegades Winterfox Dust2 16 4,2016-03-09,Dust2,Renegades,Winterfox
2301128_Inferno,NRG Luminosity Inferno 3 16,2016-03-11,Inferno,NRG,Luminosity
2301148_Dust2,mousesports TheMongolz Dust2 16 7,2016-03-02,Dust2,mousesports,TheMongolz
2301151_Inferno,fnatic NiP Inferno 16 14,2016-03-02,Inferno,fnatic,NiP
2301168_Cobblestone,Virtus.pro Tempo Storm Cobblestone 9 16,2016-03-03,Cobblestone,Virtus.pro,Tempo Storm
2301179_Cache,ALTERNATE aTTaX Torpedo Cache 17 19,2016-03-01,Cache,ALTERNATE aTTaX,Torpedo
2301180_Default,MVP Project DeToNator Default 16 14,2016-03-02,Default,MVP Project,DeToNator
