doc_id,text,date,_map,team_1,team_2
2299011_Inferno,CLG Liquid Inferno 16 12,2015-11-04,Inferno,CLG,Liquid
2299057_Train,Vexed CSGL Train 16 11,2015-11-05,Train,Vexed,CSGL
2299130_Cache,Envy CSGL Cache 16 11,2015-11-09,Cache,Envy,CSGL
2299178_Overpass,Winterfox Luminosity Overpass 9 16,2015-11-12,Overpass,Winterfox,Luminosity
2299242_Dust2,CLG Renegades Dust2 10 16,2015-11-14,Dust2,CLG,Renegades
2299256_Cache,Cloud9 Liquid Cache 14 16,2015-11-15,Cache,Cloud9,Liquid
2299286_Dust2,fnatic Natus Vincere Dust2 16 3,2015-11-16,Dust2,fnatic,Natus Vincere
2299298_Inferno,Renegades Nexus Inferno 16 8,2015-11-16,Inferno,Renegades,Nexus
2299310_Cobblestone,CSGL Games Academy Cobblestone 10 16,2015-11-17,Cobblestone,CSGL,Games Academy
2299318_Mirage,Luminosity Winterfox Mirage 16 9,2015-11-17,Mirage,Luminosity,Winterfox
2299335_Cobblestone,HellRaisers Natus Vincere Cobblestone 8 16,2015-11-17,Cobblestone,HellRaisers,Natus Vincere
2299348_Dust2,TSM HellRaisers Dust2 16 4,2015-11-17,Dust2,TSM,HellRaisers
2299360_Train,Virtus.pro FlipSid3 Train 16 6,2015-11-18,Train,Virtus.pro,FlipSid3
2299361_Dust2,fnatic TSM Dust2 16 11,2015-11-18,Dust2,fnatic,TSM
2299363_Cobblestone,Cloud9 Games Academy Cobblestone 19 15,2015-11-18,Cobblestone,Cloud9,Games Academy
2299371_Cache,Renegades Cloud9 Cache 19 16,2015-11-18,Cache,Renegades,Cloud9
2299371_Inferno,Renegades Cloud9 Inferno 11 16,2015-11-18,Inferno,Renegades,Cloud9
2299383_Dust2,Games Academy Luminosity Dust2 16 13,2015-11-19,Dust2,Games Academy,Luminosity
2299384_Train,Enemy Renegades Train 12 16,2015-11-19,Train,Enemy,Renegades
2299390_Cache,Liquid Renegades Cache 13 16,2015-11-19,Cache,Liquid,Renegades
2299395_Cache,Liquid Complexity Cache 22 20,2015-11-20,Cache,Liquid,Complexity
