doc_id,text,date,_map,team_1,team_2
2312513_Cobblestone,G2V x6tence Cobblestone 11 16,2017-07-09,Cobblestone,G2V,x6tence
2312527_Train,Misfits Red Reserve Train 18 22,2017-07-09,Train,Misfits,Red Reserve
2312550_Train,Chiefs Athletico Gold Train 16 1,2017-07-10,Train,Chiefs,Athletico Gold
2312564_Overpass,Zoctai iGame.com Overpass 10 16,2017-07-17,Overpass,Zoctai,iGame.com
2312573_Mirage,PENTA Fragsters Mirage 16 11,2017-07-11,Mirage,PENTA,Fragsters
2312578_Cobblestone,Heroic Kinguin Cobblestone 16 10,2017-07-11,Cobblestone,Heroic,Kinguin
2312582_Nuke,Miami Flamingos mouseSpaz Nuke 6 16,2017-07-11,Nuke,Miami Flamingos,mouseSpaz
2312590_Train,Skyfire Corvidae Train 7 16,2017-07-11,Train,Skyfire,Corvidae
2312611_Mirage,FlipSid3 Kinguin Mirage 9 16,2017-07-12,Mirage,FlipSid3,Kinguin
2312616_Cache,LOG VITALIS Cache 17 19,2017-07-12,Cache,LOG,VITALIS
2312623_Cobblestone,Liquid Rise Nation Cobblestone 16 7,2017-07-11,Cobblestone,Liquid,Rise Nation
2312623_Mirage,Liquid Rise Nation Mirage 16 14,2017-07-11,Mirage,Liquid,Rise Nation
2312630_Train,Mythic RONIN Train 12 16,2017-07-13,Train,Mythic,RONIN
2312631_Train,District 7 Blight Train 16 8,2017-07-13,Train,District 7,Blight
2312634_Train,Rise Nation Miami Flamingos Train 16 2,2017-07-17,Train,Rise Nation,Miami Flamingos
2312648_Train,fnatic Academy Playing Ducks Train 13 16,2017-07-18,Train,fnatic Academy,Playing Ducks
2312656_Mirage,Bpro Spartak Mirage 14 16,2017-07-13,Mirage,Bpro,Spartak
2312663_Cobblestone,Stormborns Hadouken Cobblestone 16 2,2017-07-13,Cobblestone,Stormborns,Hadouken
2312673_Inferno,ViCi Wings Inferno 16 4,2017-07-14,Inferno,ViCi,Wings
2312700_Train,SCARZ Absolute MVP Project Train 2 16,2017-07-15,Train,SCARZ Absolute,MVP Project
2312704_Mirage,EMP UYA Mirage 16 9,2017-07-16,Mirage,EMP,UYA
