doc_id,text,date,_map,team_1,team_2
2299057_Overpass,Vexed CSGL Overpass 16 2,2015-11-05,Overpass,Vexed,CSGL
2299059_Cache,G2 E-frag.net Cache 19 22,2015-11-05,Cache,G2,E-frag.net
2299079_Cobblestone,Liquid Dignitas Cobblestone 13 16,2015-11-07,Cobblestone,Liquid,Dignitas
2299112_Cache,Luminosity Titan Cache 11 16,2015-11-07,Cache,Luminosity,Titan
2299155_Cache,Cloud9 Complexity Cache 16 12,2015-11-11,Cache,Cloud9,Complexity
2299175_Cache,Cloud9 Liquid Cache 12 16,2015-11-12,Cache,Cloud9,Liquid
2299198_Inferno,Dignitas fnatic Inferno 4 16,2015-11-12,Inferno,Dignitas,fnatic
2299223_Mirage,Virtus.pro NiP Mirage 14 16,2015-11-13,Mirage,Virtus.pro,NiP
2299246_Cobblestone,Titan Virtus.pro Cobblestone 8 16,2015-11-14,Cobblestone,Titan,Virtus.pro
2299264_Dust2,Luminosity Cloud9 Dust2 7 16,2015-11-15,Dust2,Luminosity,Cloud9
2299271_Inferno,Liquid Cloud9 Inferno 16 4,2015-11-15,Inferno,Liquid,Cloud9
2299308_Cobblestone,Cloud9 Complexity Cobblestone 16 1,2015-11-17,Cobblestone,Cloud9,Complexity
2299314_Cache,Liquid CSGL Cache 16 13,2015-11-17,Cache,Liquid,CSGL
2299315_Dust2,Torqued CLG Red Dust2 16 5,2015-11-17,Dust2,Torqued,CLG Red
2299319_Inferno,Luminosity CLG Red Inferno 16 3,2015-11-17,Inferno,Luminosity,CLG Red
2299334_Cobblestone,Dignitas Virtus.pro Cobblestone 16 7,2015-11-17,Cobblestone,Dignitas,Virtus.pro
2299340_Cache,mousesports TSM Cache 7 16,2015-11-17,Cache,mousesports,TSM
2299342_Train,HellRaisers mousesports Train 16 13,2015-11-17,Train,HellRaisers,mousesports
2299362_Cobblestone,Renegades Winterfox Cobblestone 16 8,2015-11-18,Cobblestone,Renegades,Winterfox
2299362_Mirage,Renegades Winterfox Mirage 16 14,2015-11-18,Mirage,Renegades,Winterfox
2299363_Cache,Cloud9 Games Academy Cache 16 14,2015-11-18,Cache,Cloud9,Games Academy
2299364_Inferno,Method Liquid Inferno 9 16,2015-11-18,Inferno,Method,Liquid
2299365_Mirage,Luminosity Enemy Mirage 19 17,2015-11-18,Mirage,Luminosity,Enemy
2299370_Overpass,Luminosity Liquid Overpass 19 17,2015-11-18,Overpass,Luminosity,Liquid
2299371_Cobblestone,Renegades Cloud9 Cobblestone 6 16,2015-11-18,Cobblestone,Renegades,Cloud9
2299387_Overpass,Cloud9 Liquid Overpass 12 16,2015-11-19,Overpass,Cloud9,Liquid
2299389_Train,Renegades Luminosity Train 16 12,2015-11-19,Train,Renegades,Luminosity
2299390_Dust2,Liquid Renegades Dust2 14 16,2015-11-19,Dust2,Liquid,Renegades
2299396_Inferno,Luminosity Cloud9 Inferno 16 4,2015-11-20,Inferno,Luminosity,Cloud9
2299440_Overpass,Liquid Virtus.pro Overpass 16 2,2015-11-22,Overpass,Liquid,Virtus.pro
2299470_Dust2,Natus Vincere Liquid Dust2 16 14,2015-11-22,Dust2,Natus Vincere,Liquid
2299471_Dust2,TSM Natus Vincere Dust2 10 16,2015-11-23,Dust2,TSM,Natus Vincere
2299483_Train,fnatic Dignitas Train 16 8,2015-11-24,Train,fnatic,Dignitas
2299502_Mirage,Envy NiP Mirage 8 16,2015-11-26,Mirage,Envy,NiP
2299537_Mirage,Virtus.pro Liquid Mirage 16 8,2015-11-27,Mirage,Virtus.pro,Liquid
2299537_Overpass,Virtus.pro Liquid Overpass 16 6,2015-11-27,Overpass,Virtus.pro,Liquid
2299538_Inferno,Envy Luminosity Inferno 11 16,2015-11-27,Inferno,Envy,Luminosity
2299587_Overpass,TSM Dignitas Overpass 16 19,2015-11-30,Overpass,TSM,Dignitas
2299615_Dust2,TSM E-frag.net Dust2 5 16,2015-12-01,Dust2,TSM,E-frag.net
2299697_Cobblestone,NiP fnatic Cobblestone 16 12,2015-12-05,Cobblestone,NiP,fnatic
2299697_Inferno,NiP fnatic Inferno 14 16,2015-12-05,Inferno,NiP,fnatic
2299743_Cobblestone,Natus Vincere E-frag.net Cobblestone 6 16,2015-12-06,Cobblestone,Natus Vincere,E-frag.net
2299802_Dust2,Natus Vincere Luminosity Dust2 16 5,2015-12-11,Dust2,Natus Vincere,Luminosity
2299843_Overpass,CLG Luminosity Overpass 12 16,2015-12-12,Overpass,CLG,Luminosity
2300093_Cobblestone,CLG Conquest Cobblestone 10 16,2015-12-22,Cobblestone,CLG,Conquest
2300245_Cache,Envy ? Cache 7 16,2016-01-12,Cache,Envy,?
2300266_Dust2,Winterfox Enemy Dust2 16 11,2016-01-13,Dust2,Winterfox,Enemy
2300270_Mirage,Natus Vincere CyberZen Mirage 16 5,2016-01-13,Mirage,Natus Vincere,CyberZen
