doc_id,text,date,_map,team_1,team_2
2299059_Dust2,G2 E-frag.net Dust2 16 13,2015-11-05,Dust2,G2,E-frag.net
2299079_Train,Liquid Dignitas Train 8 16,2015-11-07,Train,Liquid,Dignitas
2299123_Cobblestone,Virtus.pro mousesports Cobblestone 16 4,2015-11-08,Cobblestone,Virtus.pro,mousesports
2299130_Cobblestone,Envy CSGL Cobblestone 16 12,2015-11-09,Cobblestone,Envy,CSGL
2299160_Mirage,NiP mousesports Mirage 8 16,2015-11-11,Mirage,NiP,mousesports
2299162_Inferno,mousesports Virtus.pro Inferno 16 2,2015-11-11,Inferno,mousesports,Virtus.pro
2299171_Dust2,Luminosity Winterfox Dust2 16 5,2015-11-12,Dust2,Luminosity,Winterfox
2299214_Cobblestone,Liquid Luminosity Cobblestone 11 16,2015-11-13,Cobblestone,Liquid,Luminosity
2299215_Mirage,Liquid Winterfox Mirage 16 11,2015-11-13,Mirage,Liquid,Winterfox
2299222_Train,Virtus.pro G2 Train 13 16,2015-11-13,Train,Virtus.pro,G2
2299243_Inferno,Cloud9 Conquest Inferno 16 4,2015-11-14,Inferno,Cloud9,Conquest
2299271_Cache,Liquid Cloud9 Cache 5 16,2015-11-15,Cache,Liquid,Cloud9
2299287_Mirage,Envy FlipSid3 Mirage 13 16,2015-11-16,Mirage,Envy,FlipSid3
2299302_Cobblestone,CLG Renegades Cobblestone 11 16,2015-11-16,Cobblestone,CLG,Renegades
2299305_Mirage,Method Nexus Storm Mirage 16 10,2015-11-17,Mirage,Method,Nexus Storm
2299311_Dust2,Games Academy SKDC Dust2 16 5,2015-11-17,Dust2,Games Academy,SKDC
2299344_Cobblestone,TSM Envy Cobblestone 12 16,2015-11-17,Cobblestone,TSM,Envy
2299363_Dust2,Cloud9 Games Academy Dust2 14 16,2015-11-18,Dust2,Cloud9,Games Academy
2299374_Cache,Enemy Method Cache 16 12,2015-11-18,Cache,Enemy,Method
2299388_Train,FlipSid3 E-frag.net Train 16 4,2015-11-19,Train,FlipSid3,E-frag.net
2299526_Dust2,NiP fnatic Dust2 4 16,2015-11-26,Dust2,NiP,fnatic
2299615_Overpass,TSM E-frag.net Overpass 16 9,2015-12-01,Overpass,TSM,E-frag.net
2299621_Train,Natus Vincere Titan Train 16 14,2015-12-02,Train,Natus Vincere,Titan
2299646_Train,Envy Titan Train 11 16,2015-12-03,Train,Envy,Titan
2299680_Cache,E-frag.net Envy Cache 5 16,2015-12-04,Cache,E-frag.net,Envy
2299742_Dust2,E-frag.net Titan Dust2 10 16,2015-12-06,Dust2,E-frag.net,Titan
2299760_Mirage,Virtus.pro HellRaisers Mirage 17 21,2015-12-07,Mirage,Virtus.pro,HellRaisers
2299799_Cache,Liquid Envy Cache 5 16,2015-12-10,Cache,Liquid,Envy
2299802_Inferno,Natus Vincere Luminosity Inferno 19 15,2015-12-11,Inferno,Natus Vincere,Luminosity
2299832_Cobblestone,Envy fnatic Cobblestone 16 11,2015-12-11,Cobblestone,Envy,fnatic
2299832_Inferno,Envy fnatic Inferno 16 6,2015-12-11,Inferno,Envy,fnatic
2299888_Cobblestone,fnatic Natus Vincere Cobblestone 16 6,2015-12-13,Cobblestone,fnatic,Natus Vincere
2299900_Cache,E-frag.net G2 Cache 7 16,2015-12-14,Cache,E-frag.net,G2
2299974_Inferno,Envy ? Inferno 10 16,2015-12-17,Inferno,Envy,?
2300093_Mirage,CLG Conquest Mirage 3 16,2015-12-22,Mirage,CLG,Conquest
2300163_Train,CSGL OpTic Train 13 16,2016-01-07,Train,CSGL,OpTic
2300171_Train,Envy Dignitas Train 16 13,2016-01-07,Train,Envy,Dignitas
2300244_Overpass,Titan ? Overpass 19 21,2016-01-11,Overpass,Titan,?
2300245_Overpass,Envy ? Overpass 5 16,2016-01-12,Overpass,Envy,?
2300273_Mirage,CyberZen G2 Mirage 11 16,2016-01-13,Mirage,CyberZen,G2
2300296_Dust2,fnatic ex-Titan Dust2 16 4,2016-01-14,Dust2,fnatic,ex-Titan
2300302_Mirage,NiP E-frag.net Mirage 16 9,2016-01-14,Mirage,NiP,E-frag.net
2300340_Overpass,Enemy Leader-1 Overpass 16 4,2016-01-16,Overpass,Enemy,Leader-1
2300341_Overpass,OpTic Winterfox Overpass 16 11,2016-01-16,Overpass,OpTic,Winterfox
2300342_Cache,Splyce Leader-1 Cache 16 2,2016-01-16,Cache,Splyce,Leader-1
2300348_Cache,OpTic Splyce Cache 16 5,2016-01-17,Cache,OpTic,Splyce
2300388_Train,G2 FlipSid3 Train 16 21,2016-01-19,Train,G2,FlipSid3
2300415_Dust2,Virtus.pro mousesports Dust2 5 16,2016-01-22,Dust2,Virtus.pro,mousesports
2300431_Mirage,Method Arcade Mirage 10 16,2016-01-22,Mirage,Method,Arcade
