doc_id,text,date,_map,team_1,team_2
2299003_Cobblestone,NiP Envy Cobblestone 16 9,2015-11-03,Cobblestone,NiP,Envy
2299059_Inferno,G2 E-frag.net Inferno 13 16,2015-11-05,Inferno,G2,E-frag.net
2299077_Cobblestone,Titan Luminosity Cobblestone 10 16,2015-11-06,Cobblestone,Titan,Luminosity
2299078_Mirage,Natus Vincere mousesports Mirage 10 16,2015-11-06,Mirage,Natus Vincere,mousesports
2299102_Dust2,Titan Natus Vincere Dust2 7 16,2015-11-07,Dust2,Titan,Natus Vincere
2299102_Train,Titan Natus Vincere Train 16 13,2015-11-07,Train,Titan,Natus Vincere
2299105_Train,Virtus.pro Dignitas Train 17 19,2015-11-07,Train,Virtus.pro,Dignitas
2299112_Cobblestone,Luminosity Titan Cobblestone 16 11,2015-11-07,Cobblestone,Luminosity,Titan
2299112_Inferno,Luminosity Titan Inferno 14 16,2015-11-07,Inferno,Luminosity,Titan
2299121_Cobblestone,Virtus.pro Titan Cobblestone 16 13,2015-11-08,Cobblestone,Virtus.pro,Titan
2299121_Train,Virtus.pro Titan Train 16 10,2015-11-08,Train,Virtus.pro,Titan
2299123_Mirage,Virtus.pro mousesports Mirage 16 8,2015-11-08,Mirage,Virtus.pro,mousesports
2299147_Cobblestone,CLG Luminosity Cobblestone 10 16,2015-11-11,Cobblestone,CLG,Luminosity
2299163_Overpass,mousesports fnatic Overpass 16 9,2015-11-11,Overpass,mousesports,fnatic
2299165_Inferno,Virtus.pro G2 Inferno 4 16,2015-11-11,Inferno,Virtus.pro,G2
2299176_Cache,Liquid Complexity Cache 16 9,2015-11-12,Cache,Liquid,Complexity
2299212_Overpass,Cloud9 Luminosity Overpass 13 16,2015-11-13,Overpass,Cloud9,Luminosity
2299213_Inferno,Complexity Luminosity Inferno 12 16,2015-11-13,Inferno,Complexity,Luminosity
2299225_Train,NiP fnatic Train 16 7,2015-11-13,Train,NiP,fnatic
2299248_Train,Virtus.pro fnatic Train 10 16,2015-11-14,Train,Virtus.pro,fnatic
2299297_Inferno,Renegades Enemy Inferno 16 14,2015-11-17,Inferno,Renegades,Enemy
2299307_Cache,Cloud9 Nexus Storm Cache 16 2,2015-11-17,Cache,Cloud9,Nexus Storm
2299313_Overpass,Liquid SKDC Overpass 16 10,2015-11-17,Overpass,Liquid,SKDC
2299317_Mirage,Winterfox CLG Red Mirage 16 13,2015-11-17,Mirage,Winterfox,CLG Red
2299337_Overpass,Dignitas Titan Overpass 13 16,2015-11-17,Overpass,Dignitas,Titan
2299348_Overpass,TSM HellRaisers Overpass 22 19,2015-11-17,Overpass,TSM,HellRaisers
2299360_Mirage,Virtus.pro FlipSid3 Mirage 16 14,2015-11-18,Mirage,Virtus.pro,FlipSid3
2299383_Train,Games Academy Luminosity Train 7 16,2015-11-19,Train,Games Academy,Luminosity
2299389_Dust2,Renegades Luminosity Dust2 16 12,2015-11-19,Dust2,Renegades,Luminosity
2299392_Default,Cloud9 Renegades Default 16 12,2015-11-19,Default,Cloud9,Renegades
2299438_Overpass,Cloud9 TSM Overpass 11 16,2015-11-21,Overpass,Cloud9,TSM
2299440_Mirage,Liquid Virtus.pro Mirage 16 9,2015-11-22,Mirage,Liquid,Virtus.pro
2299466_Cache,G2 TSM Cache 16 5,2015-11-22,Cache,G2,TSM
2299470_Cobblestone,Natus Vincere Liquid Cobblestone 16 7,2015-11-22,Cobblestone,Natus Vincere,Liquid
2299483_Cache,fnatic Dignitas Cache 16 10,2015-11-24,Cache,fnatic,Dignitas
2299525_Mirage,Virtus.pro TSM Mirage 13 16,2015-11-26,Mirage,Virtus.pro,TSM
2299541_Mirage,TSM Luminosity Mirage 16 5,2015-11-28,Mirage,TSM,Luminosity
2299558_Cobblestone,fnatic Luminosity Cobblestone 16 11,2015-11-28,Cobblestone,fnatic,Luminosity
2299558_Inferno,fnatic Luminosity Inferno 16 7,2015-11-28,Inferno,fnatic,Luminosity
2299586_Cache,Dignitas G2 Cache 12 16,2015-11-30,Cache,Dignitas,G2
2299645_Cache,fnatic G2 Cache 16 1,2015-12-03,Cache,fnatic,G2
2299645_Mirage,fnatic G2 Mirage 16 6,2015-12-03,Mirage,fnatic,G2
2299674_Cache,fnatic ? Cache 16 11,2015-12-04,Cache,fnatic,?
2299697_Cache,NiP fnatic Cache 16 6,2015-12-05,Cache,NiP,fnatic
2299778_Mirage,Vexed G2 Mirage 7 16,2015-12-08,Mirage,Vexed,G2
