doc_id,text,date,_map,team_1,team_2
2299042_Cobblestone,Liquid Luminosity Cobblestone 16 6,2015-11-05,Cobblestone,Liquid,Luminosity
2299101_Mirage,Luminosity mousesports Mirage 7 16,2015-11-07,Mirage,Luminosity,mousesports
2299161_Train,Titan Virtus.pro Train 13 16,2015-11-11,Train,Titan,Virtus.pro
2299172_Dust2,CLG Conquest Dust2 16 12,2015-11-12,Dust2,CLG,Conquest
2299179_Mirage,Conquest CLG Mirage 16 3,2015-11-12,Mirage,Conquest,CLG
2299199_Dust2,Virtus.pro E-frag.net Dust2 16 13,2015-11-12,Dust2,Virtus.pro,E-frag.net
2299244_Dust2,Liquid Complexity Dust2 19 17,2015-11-15,Dust2,Liquid,Complexity
2299258_Inferno,Cloud9 Complexity Inferno 16 5,2015-11-15,Inferno,Cloud9,Complexity
2299261_Train,NiP Titan Train 16 6,2015-11-15,Train,NiP,Titan
2299287_Inferno,Envy FlipSid3 Inferno 16 10,2015-11-16,Inferno,Envy,FlipSid3
2299301_Cache,CLG Enemy Cache 7 16,2015-11-16,Cache,CLG,Enemy
2299312_Cache,Liquid Games Academy Cache 16 5,2015-11-18,Cache,Liquid,Games Academy
2299316_Overpass,Torqued Winterfox Overpass 13 16,2015-11-18,Overpass,Torqued,Winterfox
2299336_Overpass,NiP Virtus.pro Overpass 16 13,2015-11-17,Overpass,NiP,Virtus.pro
2299373_Mirage,Winterfox Games Academy Mirage 5 16,2015-11-18,Mirage,Winterfox,Games Academy
2299387_Inferno,Cloud9 Liquid Inferno 16 7,2015-11-19,Inferno,Cloud9,Liquid
2299401_Inferno,CLG Conquest Inferno 13 16,2015-11-20,Inferno,CLG,Conquest
2299437_Mirage,G2 CLG Mirage 19 17,2015-11-21,Mirage,G2,CLG
2299439_Mirage,Natus Vincere Luminosity Mirage 16 13,2015-11-22,Mirage,Natus Vincere,Luminosity
2299471_Cobblestone,TSM Natus Vincere Cobblestone 8 16,2015-11-23,Cobblestone,TSM,Natus Vincere
2299483_Cobblestone,fnatic Dignitas Cobblestone 17 19,2015-11-24,Cobblestone,fnatic,Dignitas
2299503_Dust2,fnatic Luminosity Dust2 16 0,2015-11-26,Dust2,fnatic,Luminosity
2299540_Mirage,NiP Luminosity Mirage 10 16,2015-11-27,Mirage,NiP,Luminosity
2299586_Inferno,Dignitas G2 Inferno 14 16,2015-11-30,Inferno,Dignitas,G2
2299622_Inferno,TSM G2 Inferno 14 16,2015-12-02,Inferno,TSM,G2
2299646_Cobblestone,Envy Titan Cobblestone 7 16,2015-12-03,Cobblestone,Envy,Titan
2299647_Cobblestone,Natus Vincere Envy Cobblestone 14 16,2015-12-03,Cobblestone,Natus Vincere,Envy
2299647_Mirage,Natus Vincere Envy Mirage 16 8,2015-12-03,Mirage,Natus Vincere,Envy
2299674_Mirage,fnatic ? Mirage 16 10,2015-12-04,Mirage,fnatic,?
2299742_Cache,E-frag.net Titan Cache 7 16,2015-12-06,Cache,E-frag.net,Titan
2299760_Cache,Virtus.pro HellRaisers Cache 10 16,2015-12-07,Cache,Virtus.pro,HellRaisers
2299762_Overpass,E-frag.net ? Overpass 6 16,2015-12-07,Overpass,E-frag.net,?
2299763_Train,Envy Dignitas Train 9 16,2015-12-07,Train,Envy,Dignitas
2299778_Dust2,Vexed G2 Dust2 9 16,2015-12-08,Dust2,Vexed,G2
2299799_Cobblestone,Liquid Envy Cobblestone 14 16,2015-12-10,Cobblestone,Liquid,Envy
2299862_Cache,fnatic Liquid Cache 16 14,2015-12-12,Cache,fnatic,Liquid
2299985_Cache,G2 Dignitas Cache 7 16,2015-12-17,Cache,G2,Dignitas
2300163_Cobblestone,CSGL OpTic Cobblestone 3 16,2016-01-07,Cobblestone,CSGL,OpTic
2300244_Dust2,Titan ? Dust2 7 16,2016-01-11,Dust2,Titan,?
2300272_Train,Natus Vincere Luminosity Train 14 16,2016-01-13,Train,Natus Vincere,Luminosity
2300316_Dust2,Natus Vincere ? Dust2 16 4,2016-01-15,Dust2,Natus Vincere,?
2300327_Dust2,Splyce Leader-1 Dust2 14 16,2016-01-16,Dust2,Splyce,Leader-1
2300343_Dust2,Obey.Alliance Winterfox Dust2 14 16,2016-01-16,Dust2,Obey.Alliance,Winterfox
2300344_Dust2,fnatic Natus Vincere Dust2 16 3,2016-01-17,Dust2,fnatic,Natus Vincere
2300347_Mirage,Enemy Winterfox Mirage 16 8,2016-01-17,Mirage,Enemy,Winterfox
2300349_Cache,Enemy Splyce Cache 16 7,2016-01-17,Cache,Enemy,Splyce
2300427_Train,Natus Vincere FaZe Train 16 9,2016-01-22,Train,Natus Vincere,FaZe
2300437_Cache,FaZe Luminosity Cache 5 16,2016-01-23,Cache,FaZe,Luminosity
2300439_Train,Astralis Luminosity Train 8 16,2016-01-23,Train,Astralis,Luminosity
2300444_Cobblestone,Luminosity Natus Vincere Cobblestone 16 19,2016-01-24,Cobblestone,Luminosity,Natus Vincere
2300482_Cache,mousesports HellRaisers Cache 16 14,2016-01-26,Cache,mousesports,HellRaisers
2300502_Cobblestone,Renegades Eat You Alive Cobblestone 16 2,2016-01-30,Cobblestone,Renegades,Eat You Alive
2300505_Cache,PENTA LDLC White Cache 16 13,2016-01-29,Cache,PENTA,LDLC White
2300522_Train,DenDD PixelFire Train 5 16,2016-01-30,Train,DenDD,PixelFire
2300534_Dust2,Chiefs TheMongolz Dust2 10 16,2016-01-31,Dust2,Chiefs,TheMongolz
2300534_Inferno,Chiefs TheMongolz Inferno 16 13,2016-01-31,Inferno,Chiefs,TheMongolz
2300535_Mirage,CyberZen Renegades Mirage 4 16,2016-01-31,Mirage,CyberZen,Renegades
2300555_Dust2,Method ENCE Dust2 2 16,2016-02-02,Dust2,Method,ENCE
2300585_Inferno,Envy Dignitas Inferno 5 16,2016-02-04,Inferno,Envy,Dignitas
2300603_Dust2,LDLC White Epiphany Bolt Dust2 16 1,2016-02-05,Dust2,LDLC White,Epiphany Bolt
2300614_Train,ENCE SK Train 2 16,2016-02-05,Train,ENCE,SK
