doc_id,text,date,_map,team_1,team_2
2299040_Cache,CLG Luminosity Cache 4 16,2015-11-05,Cache,CLG,Luminosity
2299068_Cache,Cloud9 CLG Cache 12 16,2015-11-06,Cache,Cloud9,CLG
2299101_Dust2,Luminosity mousesports Dust2 12 16,2015-11-07,Dust2,Luminosity,mousesports
2299105_Inferno,Virtus.pro Dignitas Inferno 16 13,2015-11-07,Inferno,Virtus.pro,Dignitas
2299105_Mirage,Virtus.pro Dignitas Mirage 16 11,2015-11-07,Mirage,Virtus.pro,Dignitas
2299165_Train,Virtus.pro G2 Train 14 16,2015-11-11,Train,Virtus.pro,G2
2299241_Dust2,Luminosity Winterfox Dust2 16 5,2015-11-14,Dust2,Luminosity,Winterfox
2299251_Cobblestone,Luminosity Renegades Cobblestone 16 0,2015-11-14,Cobblestone,Luminosity,Renegades
2299260_Train,Virtus.pro Titan Train 16 2,2015-11-15,Train,Virtus.pro,Titan
2299265_Overpass,CLG Liquid Overpass 7 16,2015-11-15,Overpass,CLG,Liquid
2299282_Dust2,mousesports Virtus.pro Dust2 13 16,2015-11-16,Dust2,mousesports,Virtus.pro
2299286_Inferno,fnatic Natus Vincere Inferno 16 3,2015-11-16,Inferno,fnatic,Natus Vincere
2299287_Cobblestone,Envy FlipSid3 Cobblestone 18 22,2015-11-16,Cobblestone,Envy,FlipSid3
2299300_Mirage,CLG Nexus Mirage 16 7,2015-11-17,Mirage,CLG,Nexus
2299320_Mirage,Luminosity Torqued Mirage 16 7,2015-11-17,Mirage,Luminosity,Torqued
2299339_Inferno,fnatic Envy Inferno 16 10,2015-11-17,Inferno,fnatic,Envy
2299347_Cache,mousesports Envy Cache 12 16,2015-11-17,Cache,mousesports,Envy
2299364_Cache,Method Liquid Cache 3 16,2015-11-18,Cache,Method,Liquid
2299370_Inferno,Luminosity Liquid Inferno 19 22,2015-11-18,Inferno,Luminosity,Liquid
2299387_Cobblestone,Cloud9 Liquid Cobblestone 16 11,2015-11-19,Cobblestone,Cloud9,Liquid
2299388_Overpass,FlipSid3 E-frag.net Overpass 16 9,2015-11-19,Overpass,FlipSid3,E-frag.net
2299397_Cobblestone,CLG Winterfox Cobblestone 16 13,2015-11-20,Cobblestone,CLG,Winterfox
2299438_Dust2,Cloud9 TSM Dust2 5 16,2015-11-21,Dust2,Cloud9,TSM
2299466_Overpass,G2 TSM Overpass 7 16,2015-11-22,Overpass,G2,TSM
2299587_Inferno,TSM Dignitas Inferno 16 6,2015-11-30,Inferno,TSM,Dignitas
2299613_Cobblestone,Natus Vincere Dignitas Cobblestone 21 19,2015-12-01,Cobblestone,Natus Vincere,Dignitas
2299613_Train,Natus Vincere Dignitas Train 9 16,2015-12-01,Train,Natus Vincere,Dignitas
2299647_Train,Natus Vincere Envy Train 16 12,2015-12-03,Train,Natus Vincere,Envy
2299743_Overpass,Natus Vincere E-frag.net Overpass 16 13,2015-12-06,Overpass,Natus Vincere,E-frag.net
2299760_Overpass,Virtus.pro HellRaisers Overpass 16 14,2015-12-07,Overpass,Virtus.pro,HellRaisers
2299865_Mirage,Natus Vincere Luminosity Mirage 16 6,2015-12-12,Mirage,Natus Vincere,Luminosity
2299865_Train,Natus Vincere Luminosity Train 12 16,2015-12-12,Train,Natus Vincere,Luminosity
2299866_Inferno,? fnatic Inferno 12 16,2015-12-13,Inferno,?,fnatic
2299888_Mirage,fnatic Natus Vincere Mirage 6 16,2015-12-13,Mirage,fnatic,Natus Vincere
2299971_Mirage,HellRaisers FlipSid3 Mirage 8 16,2015-12-16,Mirage,HellRaisers,FlipSid3
2299974_Train,Envy ? Train 13 16,2015-12-17,Train,Envy,?
2300247_Mirage,FlipSid3 SK Mirage 21 18,2016-01-10,Mirage,FlipSid3,SK
2300266_Cache,Winterfox Enemy Cache 11 16,2016-01-13,Cache,Winterfox,Enemy
2300266_Inferno,Winterfox Enemy Inferno 16 14,2016-01-13,Inferno,Winterfox,Enemy
2300273_Inferno,CyberZen G2 Inferno 16 6,2016-01-13,Inferno,CyberZen,G2
2300276_Train,ex-Titan ? Train 14 16,2016-01-14,Train,ex-Titan,?
2300302_Cobblestone,NiP E-frag.net Cobblestone 16 11,2016-01-14,Cobblestone,NiP,E-frag.net
2300317_Cache,Luminosity fnatic Cache 7 16,2016-01-16,Cache,Luminosity,fnatic
2300342_Dust2,Splyce Leader-1 Dust2 16 12,2016-01-16,Dust2,Splyce,Leader-1
2300343_Inferno,Obey.Alliance Winterfox Inferno 16 12,2016-01-16,Inferno,Obey.Alliance,Winterfox
2300347_Overpass,Enemy Winterfox Overpass 16 7,2016-01-17,Overpass,Enemy,Winterfox
2300361_Mirage,E-frag.net FlipSid3 Mirage 9 16,2016-01-18,Mirage,E-frag.net,FlipSid3
2300388_Mirage,G2 FlipSid3 Mirage 4 16,2016-01-19,Mirage,G2,FlipSid3
2300417_Overpass,Method FLuffy Gangsters Overpass 16 10,2016-01-22,Overpass,Method,FLuffy Gangsters
2300418_Cache,Arcade Quest Cache 16 13,2016-01-22,Cache,Arcade,Quest
2300429_Overpass,Luminosity SK Overpass 16 7,2016-01-22,Overpass,Luminosity,SK
2300438_Cobblestone,mousesports Dignitas Cobblestone 4 16,2016-01-23,Cobblestone,mousesports,Dignitas
2300499_Inferno,CyberZen Chiefs Inferno 16 3,2016-01-29,Inferno,CyberZen,Chiefs
2300506_Cache,CG LDLC White Cache 16 13,2016-01-29,Cache,CG,LDLC White
2300507_Dust2,E-frag.net PENTA Dust2 16 3,2016-01-29,Dust2,E-frag.net,PENTA
2300508_Overpass,CG PENTA Overpass 16 6,2016-01-29,Overpass,CG,PENTA
2300520_Mirage,Lemondogs DenDD Mirage 13 16,2016-01-30,Mirage,Lemondogs,DenDD
2300521_Overpass,HellRaisers PixelFire Overpass 16 14,2016-01-30,Overpass,HellRaisers,PixelFire
2300525_Dust2,E-frag.net PixelFire Dust2 16 12,2016-01-31,Dust2,E-frag.net,PixelFire
2300527_Dust2,HellRaisers E-frag.net Dust2 16 11,2016-01-31,Dust2,HellRaisers,E-frag.net
2300531_Cobblestone,mousesports Dignitas Cobblestone 3 16,2016-01-31,Cobblestone,mousesports,Dignitas
2300532_Cache,NiP ex-Titan Cache 13 16,2016-01-31,Cache,NiP,ex-Titan
2300570_Train,CLG Envy Train 6 16,2016-02-04,Train,CLG,Envy
2300571_Cobblestone,FlipSid3 Dignitas Cobblestone 12 16,2016-02-04,Cobblestone,FlipSid3,Dignitas
2300591_Cobblestone,Cloud9 G2 Cobblestone 6 16,2016-02-05,Cobblestone,Cloud9,G2
2300594_Overpass,G2 Astralis Overpass 16 13,2016-02-05,Overpass,G2,Astralis
2300595_Train,Cloud9 G2 Train 11 16,2016-02-05,Train,Cloud9,G2
2300602_Cobblestone,RCTIC CPH Wolves Cobblestone 3 16,2016-02-05,Cobblestone,RCTIC,CPH Wolves
2300603_Inferno,LDLC White Epiphany Bolt Inferno 16 13,2016-02-05,Inferno,LDLC White,Epiphany Bolt
2300617_Cobblestone,CLG G2 Cobblestone 16 10,2016-02-06,Cobblestone,CLG,G2
2300637_Overpass,Astralis CLG Overpass 16 3,2016-02-07,Overpass,Astralis,CLG
2300701_Dust2,SK Dignitas Dust2 16 12,2016-02-10,Dust2,SK,Dignitas
2300701_Mirage,SK Dignitas Mirage 12 16,2016-02-10,Mirage,SK,Dignitas
2300764_Cache,mousesports E-frag.net Cache 16 5,2016-02-12,Cache,mousesports,E-frag.net
2300808_Dust2,Virtus.pro Natus Vincere Dust2 9 16,2016-02-17,Dust2,Virtus.pro,Natus Vincere
2300855_Cobblestone,FlipSid3 E-frag.net Cobblestone 19 16,2016-02-17,Cobblestone,FlipSid3,E-frag.net
2300874_Train,E-frag.net FlipSid3 Train 16 19,2016-02-18,Train,E-frag.net,FlipSid3
2300882_Cobblestone,Dignitas gBots Cobblestone 16 14,2016-02-19,Cobblestone,Dignitas,gBots
2300883_Mirage,Astralis x6tence Mirage 16 2,2016-02-19,Mirage,Astralis,x6tence
2300916_Dust2,Astralis G2 Dust2 13 16,2016-02-20,Dust2,Astralis,G2
2300958_Cache,QuetzaL Noble Cache 14 16,2016-02-23,Cache,QuetzaL,Noble
