date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
2018-08-20,MVP PK,CyberZen,Mirage,13,16,2,1,10,5,3,11,3937,2325735,73,97,1,2,2
2018-08-20,Royal Bandits,Smoke Criminals,Nuke,9,16,2,2,6,4,3,12,3992,2325830,119,83,1,2,2
2018-08-20,Royal Bandits,Smoke Criminals,Cache,16,8,1,1,9,6,7,2,3992,2325830,119,83,1,2,2
2018-08-20,Royal Bandits,Smoke Criminals,Inferno,10,16,2,2,1,10,9,6,3992,2325830,119,83,1,2,2
2018-08-20,AGO,3DMAX,Cache,16,5,1,2,3,3,13,2,3992,2325829,29,36,2,1,1
2018-08-20,AGO,3DMAX,Inferno,11,16,2,1,6,9,5,7,3992,2325829,29,36,2,1,1
2018-08-20,AGO,Smoke Criminals,Cache,16,13,1,2,7,7,9,6,3992,2325831,29,83,2,0,1
2018-08-20,CyberZen,BOOT-d[S],Train,9,16,2,2,4,6,5,10,3937,2325734,97,40,2,1,1
2018-08-20,CyberZen,BOOT-d[S],Inferno,16,5,1,2,6,0,10,5,3937,2325734,97,40,2,1,1
2018-08-20,Avalanche,Wild,Mirage,14,16,2,2,9,6,5,10,3771,2325804,253,136,0,2,2
2018-08-20,Avalanche,Wild,Nuke,10,16,2,2,5,6,5,10,3771,2325804,253,136,0,2,2
2018-08-20,CyberZen,BOOT-d[S],Nuke,16,14,1,2,8,7,8,7,3937,2325734,97,40,2,1,1
2018-08-20,BOOT-d[S],EHOME,Inferno,16,14,1,1,6,9,10,5,3937,2325732,40,123,2,0,1
2018-08-20,BOOT-d[S],EHOME,Train,16,10,1,1,7,8,9,2,3937,2325732,40,123,2,0,1
2018-08-20,C4,Uranus,Mirage,16,1,1,2,2,0,14,1,3955,2325607,172,242,2,0,1
2018-08-20,MVP PK,CyberZen,Inferno,16,14,1,1,9,6,7,8,3937,2325735,73,97,1,2,2
2018-08-20,C4,Uranus,Inferno,16,12,1,2,6,7,10,5,3955,2325607,172,242,2,0,1
2018-08-20,AGO,Smoke Criminals,Overpass,16,2,1,2,3,0,13,2,3992,2325831,29,83,2,0,1
2018-08-20,AVANGAR,Quantum Bellator Fire,Mirage,16,11,1,2,6,6,10,5,3971,2325853,31,116,16,11,1
2018-08-20,Chaos,SJ,Inferno,12,16,2,2,3,10,9,6,3977,2325781,76,68,12,16,2
2018-08-20,Surge,Ground Zero,Dust2,3,16,2,1,2,13,1,3,3989,2325997,162,160,3,16,2
2018-08-20,PITS,Bulldozer,Cache,16,8,1,1,9,6,7,2,3955,2325608,204,259,2,1,1
2018-08-20,PITS,Bulldozer,Dust2,16,3,1,1,13,2,3,1,3955,2325608,204,259,2,1,1
2018-08-20,Fragsters,LDLC,Inferno,16,9,1,2,5,5,11,4,3971,2325857,27,54,16,9,1
2018-08-20,Valiance,Imperial,Mirage,16,8,1,2,4,5,12,3,3971,2325856,55,25,16,8,1
2018-08-20,PITS,Bulldozer,Inferno,14,16,2,2,9,6,5,10,3955,2325608,204,259,2,1,1
2018-08-20,SJ,Chaos,Cache,14,16,2,2,5,10,9,6,3971,2325851,68,88,14,16,2
2018-08-20,EURONICS,Sharks,Train,11,16,2,1,10,5,1,11,3960,2325834,45,64,0,2,2
2018-08-20,EURONICS,Sharks,Cache,14,16,2,1,4,11,10,5,3960,2325834,45,64,0,2,2
2018-08-20,PACT,Tricked,Mirage,12,16,2,1,5,10,7,6,3977,2325783,93,78,12,16,2
2018-08-20,fnatic Academy,Bpro,Cache,1,16,2,2,0,2,1,14,3946,2325508,72,98,0,2,2
2018-08-20,fnatic Academy,Bpro,Inferno,14,16,2,1,2,13,12,3,3946,2325508,72,98,0,2,2
2018-08-20,Valiance,Vexed,Mirage,16,8,1,2,5,4,11,4,3971,2325850,55,124,16,8,1
2018-08-19,MVP PK,SCARZ Absolute,Mirage,16,14,1,1,10,5,6,9,3970,2325820,73,61,2,0,1
2018-08-19,BOOT-d[S],SCARZ Absolute,Inferno,16,14,1,1,4,11,12,3,3970,2325817,40,61,1,2,2
2018-08-19,Unique,pro100,Cache,9,16,2,2,1,9,8,7,3959,2325800,99,46,0,2,2
2018-08-19,Unique,pro100,Mirage,11,16,2,2,3,9,8,7,3959,2325800,99,46,0,2,2
2018-08-19,MVP PK,SCARZ Absolute,Nuke,16,6,1,2,6,1,10,5,3970,2325820,73,61,2,0,1
2018-08-19,AVANGAR,WINside,Cache,16,1,1,2,2,0,14,1,3939,2325822,33,165,3,0,1
2018-08-19,BOOT-d[S],TNC,Nuke,16,1,1,2,2,0,14,1,3970,2325821,40,170,2,0,1
2018-08-19,BOOT-d[S],TNC,Inferno,16,5,1,1,14,1,2,4,3970,2325821,40,170,2,0,1
2018-08-19,AVANGAR,WINside,Mirage,16,10,1,1,10,5,6,5,3939,2325822,33,165,3,0,1
2018-08-19,AVANGAR,WINside,Train,16,9,1,1,7,8,9,1,3939,2325822,33,165,3,0,1
2018-08-19,Flash,5POWER,Overpass,16,14,1,2,4,11,12,3,3970,2325816,86,60,2,0,1
2018-08-19,BOOT-d[S],SCARZ Absolute,Mirage,14,16,2,1,10,5,4,11,3970,2325817,40,61,1,2,2
2018-08-19,CyberZen,Flash,Train,16,9,1,2,9,1,7,8,3937,2325733,97,86,2,0,1
2018-08-19,Flash,5POWER,Mirage,16,13,1,1,6,9,10,4,3970,2325816,86,60,2,0,1
2018-08-19,TNC,MVP PK,Cache,6,16,2,1,5,10,1,6,3970,2325818,170,73,0,2,2
2018-08-19,TNC,MVP PK,Inferno,15,19,2,1,3,12,12,3,3970,2325818,170,73,0,2,2
2018-08-19,GOSU,EHOME,Overpass,5,16,2,2,1,5,4,11,3937,2325731,127,123,0,2,2
2018-08-19,GOSU,EHOME,Inferno,13,16,2,1,7,8,6,8,3937,2325731,127,123,0,2,2
2018-08-19,CyberZen,Flash,Mirage,16,10,1,2,7,4,9,6,3937,2325733,97,86,2,0,1
2018-08-19,FriendlyFire,3DMAX,Inferno,9,16,2,2,5,5,4,11,3992,2325825,75,36,9,16,2
2018-08-19,INTZ,DETONA,Dust2,16,8,1,2,9,0,7,8,3955,2325777,190,219,1,2,2
2018-08-19,INTZ,DETONA,Cache,13,16,2,1,6,9,7,7,3955,2325777,190,219,1,2,2
2018-08-19,INTZ,DETONA,Mirage,5,16,2,1,4,11,1,5,3955,2325777,190,219,1,2,2
2018-08-19,AVANT,Dynasty,Mirage,16,14,1,2,13,2,3,12,3989,2325998,133,183,16,14,1
2018-08-19,Ground Zero,AVANT,Inferno,14,16,2,1,4,11,10,5,3989,2325999,160,133,14,16,2
2018-08-19,warmup,Smoke Criminals,Inferno,8,16,2,1,5,10,3,6,3992,2325824,104,83,8,16,2
2018-08-19,BOOT-d[S],SCARZ Absolute,Cache,13,16,2,1,5,10,8,6,3970,2325817,40,61,1,2,2
2018-08-19,fnatic Academy,Royal Bandits,Mirage,7,16,2,1,6,9,1,7,3992,2325826,72,119,7,16,2
2018-08-19,WINside,EURONICS,Inferno,10,16,2,2,6,5,4,11,3946,2325626,165,45,1,2,2
2018-08-19,Sharks,Nordavind,Nuke,7,16,2,2,3,5,4,11,3960,2325794,64,69,1,2,2
2018-08-19,INTZ,ex-Wild,Train,25,22,1,1,9,6,6,9,3955,2325814,190,163,1,2,2
2018-08-19,INTZ,ex-Wild,Mirage,12,16,2,2,6,7,6,9,3955,2325814,190,163,1,2,2
2018-08-19,INTZ,ex-Wild,Cache,13,16,2,2,5,9,8,7,3955,2325814,190,163,1,2,2
2018-08-19,Taboo,Ground Zero,Dust2,12,16,2,1,5,10,7,6,3989,2325993,216,160,12,16,2
2018-08-19,Revoltz,PITS,Inferno,5,16,2,2,0,6,5,10,3781,2325832,299,227,0,2,2
2018-08-19,Revoltz,PITS,Cache,14,16,2,2,10,5,4,11,3781,2325832,299,227,0,2,2
2018-08-19,HAVU,Bpro,Dust2,14,16,2,2,7,8,7,8,3960,2325796,74,98,0,2,2
2018-08-19,HAVU,Bpro,Cache,9,16,2,1,5,10,4,6,3960,2325796,74,98,0,2,2
2018-08-19,WINside,EURONICS,Mirage,16,10,1,1,8,7,8,3,3946,2325626,165,45,1,2,2
2018-08-19,Santos,Isurus,Inferno,22,20,1,2,9,6,6,9,3771,2325802,223,194,22,20,1
2018-08-19,WINside,EURONICS,Overpass,10,16,2,2,4,7,6,9,3946,2325626,165,45,1,2,2
2018-08-19,unknown,Bpro,Nuke,13,16,2,1,7,8,6,8,3910,2325631,150,98,0,2,2
2018-08-19,Sharks,Nordavind,Train,7,16,2,2,3,5,4,11,3960,2325794,64,69,1,2,2
2018-08-19,Tricked,x-kom,Inferno,16,9,1,2,4,6,12,3,3960,2325795,78,88,1,2,2
2018-08-19,Chaos,AGO,Train,8,16,2,2,2,7,6,9,3992,2325827,76,29,8,16,2
2018-08-19,Revoltz,PITS,Dust2,16,13,1,1,8,7,8,6,3781,2325798,299,227,16,13,1
2018-08-19,Sharks,Nordavind,Mirage,16,13,1,2,5,9,11,4,3960,2325794,64,69,1,2,2
2018-08-19,unknown,Bpro,Cache,11,16,2,1,6,9,5,7,3910,2325631,150,98,0,2,2
2018-08-19,Wild,W7M,Inferno,14,16,2,2,5,10,9,6,3771,2325801,136,197,14,16,2
2018-08-19,Tricked,x-kom,Dust2,5,16,2,1,5,10,0,6,3960,2325795,78,88,1,2,2
2018-08-19,Tricked,x-kom,Mirage,12,16,2,1,5,10,7,6,3960,2325795,78,88,1,2,2
2018-08-18,Rise and Grind,Dynasty,Inferno,13,16,2,2,8,6,5,10,3989,2325995,147,183,13,16,2
