date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
2019-05-22,Lucid Dream,AOES,Mirage,16,13,1,1,10,5,6,8,4579,2333462,77,137,2,0,1
2019-05-22,Lucid Dream,AOES,Nuke,16,8,1,2,4,5,12,3,4579,2333462,77,137,2,0,1
2019-05-22,RED Canids,Itakera Classic,Dust2,16,3,1,2,4,0,12,3,4606,2333451,195,290,16,3,1
2019-05-22,INTZ,Luminosity,Inferno,7,16,2,2,2,6,5,10,4422,2333446,48,36,2,1,1
2019-05-22,FURIA,Ascent,Nuke,16,6,1,2,4,3,12,3,4502,2333417,18,93,16,6,1
2019-05-22,RED Canids,WePlayGames,Train,16,12,1,2,6,7,10,5,4509,2333515,195,165,16,12,1
2019-05-22,Singularity,MIBR,Inferno,10,16,2,2,1,10,9,6,4422,2333444,55,6,0,2,2
2019-05-22,Singularity,MIBR,Mirage,10,16,2,2,3,8,7,8,4422,2333444,55,6,0,2,2
2019-05-22,Grayhound,Chiefs,Overpass,16,6,1,2,7,0,9,6,4484,2332983,17,37,2,0,1
2019-05-22,Inflames,paiN,Inferno,22,19,1,2,9,6,6,9,4606,2333452,108,62,22,19,1
2019-05-22,WePlayGames,W7M,Inferno,16,13,1,1,9,6,7,7,4606,2333453,165,61,16,13,1
2019-05-22,ratoes,Santos,Dust2,19,17,1,2,5,10,10,5,4606,2333454,289,226,19,17,1
2019-05-22,INTZ,Luminosity,Train,16,13,1,2,11,3,5,10,4422,2333446,48,36,2,1,1
2019-05-22,Liquid,Spacestation,Vertigo,16,7,1,1,11,4,5,3,4422,2333447,2,123,2,0,1
2019-05-22,Liquid,Spacestation,Overpass,16,3,1,1,13,2,3,1,4422,2333447,2,123,2,0,1
2019-05-22,eUnited,Cloud9,Dust2,7,16,2,1,7,8,0,8,4338,2332958,42,33,1,2,2
2019-05-22,eUnited,Cloud9,Nuke,14,16,2,2,8,7,6,9,4338,2332958,42,33,1,2,2
2019-05-22,eUnited,Cloud9,Inferno,16,8,1,1,8,7,8,1,4338,2332958,42,33,1,2,2
2019-05-22,INTZ,Luminosity,Mirage,16,14,1,1,10,5,6,9,4422,2333446,48,36,2,1,1
